code,lifecycle_state,expectation_state,research_stage,research_priority,radar,drivers,risks,priority_note,ind,nm,cl_pct
603629,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+7880%，营收+39%）; 🟢 健康扩产（CAPEX+73%，ROIC↑），产能释放可期; 🟢 强定价权（毛利35%，+15pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,利通电子,7880
688372,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+4534%，营收+69%）; 🟢 健康扩产（CAPEX+85%，ROIC↑），产能释放可期; 🟢 强定价权（毛利37%，+2pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,伟测科技,4534
688135,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+4310%，营收+25%）; 🟢 ROIC提升（+1.2pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,利扬芯片,4310
300502,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+1610%，营收+100%）; 🟢 健康扩产（CAPEX+38%，ROIC↑），产能释放可期; 🟢 强定价权（毛利48%，+2pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,新易盛,1610
688807,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+1304%，营收+25%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,优迅股份,1304
001339,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+1148%，营收+57%）; 🟢 ROIC提升（+1.0pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,智微智能,1148
300277,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+974%，营收+14%）; 🟢 健康扩产（CAPEX+18299%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,汽轮科技,974
300940,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+692%，营收+-30%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,南极光,692
688110,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+646%，营收+336%）; 🟢 ROIC提升（+5.9pp），资本效率持续改善; 🟢 强定价权（毛利42%，+26pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,东芯股份,646
300991,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+598%，营收+-13%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,创益通,598
688809,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+586%，营收+67%）; 🟢 健康扩产（CAPEX+105%，ROIC↑），产能释放可期; 🟢 强定价权（毛利65%，+7pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,强一股份,586
688416,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+576%，营收+203%）; 🟢 ROIC提升（+6.2pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,恒烁股份,576
002222,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+536%，营收+39%）; 🟢 健康扩产（CAPEX+166%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,福晶科技,536
301389,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+420%，营收+121%）; 🟢 定价权稳定（毛利50%，波动1.2pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,隆扬电子,420
300303,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+328%，营收+1%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,聚飞光电,328
688299,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+326%，营收+-15%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,长阳科技,326
603042,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+308%，营收+5%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,华脉科技,308
688127,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+281%，营收+76%）; 🟢 ROIC提升（+4.7pp），资本效率持续改善; 🟢 强定价权（毛利44%，+6pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,蓝特光学,281
688781,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+277%，营收+288%）; 🟢 健康扩产（CAPEX+68%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,视涯科技,277
002281,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+264%，营收+26%）; 🟢 健康扩产（CAPEX+33%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,光迅科技,264
301285,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+253%，营收+-2%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,鸿日达,253
300964,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+242%，营收+61%）; 🟢 ROIC提升（+0.7pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,本川智能,242
002635,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+241%，营收+11%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,安洁科技,241
688039,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+220%，营收+3%）; 🟢 ROIC提升（+0.3pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,当虹科技,220
301630,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+215%，营收+32%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,同宇新材,215
300782,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+214%，营收+6%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,卓胜微,214
603986,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+213%，营收+179%）; 🟢 健康扩产（CAPEX+106%，ROIC↑），产能释放可期; 🟢 强定价权（毛利50%，+12pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,兆易创新,213
688195,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+210%，营收+63%）; 🟢 强定价权（毛利38%，+1pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,腾景科技,210
688167,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+210%，营收+7%）; 🟢 ROIC提升（+1.7pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,炬光科技,210
301348,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+192%，营收+25%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,蓝箭电子,192
002920,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+188%，营收+2%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,德赛西威,188
301577,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+184%，营收+36%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,美信科技,184
002866,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+176%，营收+3%）; 🟢 ROIC提升（+1.2pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,传艺科技,176
