code,lifecycle_state,expectation_state,research_stage,research_priority,radar,drivers,risks,priority_note,ind,nm,cl_pct,sw1,sw2,sw3,sub
603629,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+7880%，营收+39%）; 🟢 健康扩产（CAPEX+73%，ROIC↑），产能释放可期; 🟢 强定价权（毛利35%，+15pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,利通电子,7880,电子,消费电子,消费电子零部件及组装,消费电子/结构件
688372,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+4534%，营收+69%）; 🟢 健康扩产（CAPEX+85%，ROIC↑），产能释放可期; 🟢 强定价权（毛利37%，+2pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,伟测科技,4534,电子,半导体,集成电路封测,半导体(设计/封测/材料)
688135,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+4310%，营收+25%）; 🟢 ROIC提升（+1.2pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,利扬芯片,4310,电子,半导体,集成电路封测,半导体(设计/封测/材料)
300502,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+1610%，营收+100%）; 🟢 健康扩产（CAPEX+38%，ROIC↑），产能释放可期; 🟢 强定价权（毛利48%，+2pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,新易盛,1610,通信,通信设备,通信网络设备及器件,光模块/光通信
688807,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+1304%，营收+25%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,优迅股份,1304,电子,半导体,数字芯片设计,半导体(设计/封测/材料)
001339,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+1148%，营收+57%）; 🟢 ROIC提升（+1.0pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,智微智能,1148,计算机,计算机设备,其他计算机设备,算力/服务器硬件
300277,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+974%，营收+14%）; 🟢 健康扩产（CAPEX+18299%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,汽轮科技,974,计算机,IT服务Ⅱ,IT服务Ⅲ,其他
300940,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+692%，营收+-30%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,南极光,692,电子,光学光电子,LED,光学/显示
688110,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+646%，营收+336%）; 🟢 ROIC提升（+5.9pp），资本效率持续改善; 🟢 强定价权（毛利42%，+26pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,东芯股份,646,电子,半导体,数字芯片设计,半导体(设计/封测/材料)
300991,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+598%，营收+-13%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,创益通,598,电子,其他电子Ⅱ,其他电子Ⅲ,其他
688809,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+586%，营收+67%）; 🟢 健康扩产（CAPEX+105%，ROIC↑），产能释放可期; 🟢 强定价权（毛利65%，+7pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,强一股份,586,电子,半导体,半导体设备,半导体(设计/封测/材料)
